InternationalMaritimeOrganizationNumber,VesselTypeName,VesselStatusName,DeadWeightTonnage,Speed,ManagementcompanyCode,ManagementCompany
9445394,Vehicles Carrier,In Trading Fleet,27003,20,5020832,Doriko Ltd
9446075,Bulk Carrier,In Trading Fleet,180120,14.67,518393,Laskaridis Shipping Co Ltd
9446257,Chemical/Products Tanker,In Trading Fleet,16976,13,5654859,Shanghai Anrita Shipping Co Ltd
9446439,Bulk Carrier,In Trading Fleet,180309,14.61,198232,Daiwa Kisen KK (Daiwa Kisen Co Ltd)
9447342,Bunkering Tanker,In Trading Fleet,2167,0,9984588,Not Applicable
9448724,Chemical/Products Tanker,In Trading Fleet,50281,14.6,310059,Norden Synergy Ship Management A/S
9449223,Chemical/Products Tanker,In Trading Fleet,2408,11,5134840,BOT Broering Oil Transport GmbH
9449340,Bulk Carrier,In Trading Fleet,34408,14.44,1796721,Sea World Management SAM
9449493,Bulk Carrier,In Trading Fleet,32978,13.7,5895088,POS SM Co Ltd
9449651,Products Tanker,In Trading Fleet,7520,11.5,1739661,JSC Fortune Tanker (ZAO Fortuna Tanker)
9450167,Open Hatch Cargo Ship,In Trading Fleet,37328,14.5,1157850,Shih Wei Navigation Co Ltd
9450179,Products Tanker,In Trading Fleet,13707,12.6,4126691,Seagull Marine -Petroleum Corporation (Cong Ty Co Phan Hang Hai-Dau Khi Hai Au)
9450313,Container Ship (Fully Cellular),In Trading Fleet,59367,22.5,4026021,V Ships (Hamburg) GmbH & Co KG
9450923,Container Ship (Fully Cellular),In Trading Fleet,54327,23.25,5201298,Quanzhou Ansheng Shipping Co Ltd
9451769,Bulk Carrier,In Trading Fleet,175337,14.3,5568093,Adani Shipping (India) Pvt Ltd
9452139,Open Hatch Cargo Ship,In Trading Fleet,51599,14.5,5441519,Thome Shipping Pte Ltd
9452646,Bulk Carrier,In Trading Fleet,57000,14.13,6143284,New Century Ship Management Co Ltd
9452672,Crude Oil Tanker,In Trading Fleet,315802,16,1038263,Norbulk Shipping UK Ltd
9456147,Bulk Carrier,In Trading Fleet,56835,14.3,1433376,Cleopatra Shipping Agency Ltd
9456159,Bulk Carrier,In Trading Fleet,56838,13.7,9991001,Unknown
9456238,Bulk Carrier,In Trading Fleet,56757.8,14,733712,AB Maritime Inc
9456343,Bulk Carrier,In Trading Fleet,56719,13.8,43218,The Great Eastern Shipping Co Ltd (G E Shipping)
9456783,Container Ship (Fully Cellular),In Trading Fleet,148723,24.7,5808451,Maersk A/S
9456915,Crude/Oil Products Tanker,In Trading Fleet,74574,14.5,1601573,Fleet Management Ltd
9457593,Crude Oil Tanker,In Trading Fleet,114542,14.49,1314173,Eastern Pacific Shipping Pte Ltd
9457701,General Cargo Ship,In Trading Fleet,1750,12,9991001,Unknown
9457866,Bulk Carrier,In Trading Fleet,93318,14.1,6077803,Qingdao Agricore Ship Management Co Ltd
9458157,LPG Tanker,In Trading Fleet,17740,16.1,519241,Naftomar Shipping & Trading Co Ltd
9458183,Chemical/Products Tanker,In Trading Fleet,8405,14,6016166,Acechem Tanker Denizcilik Turizm Sanayi ve Ticaret Ltd Sti
9458377,Bulk Carrier,In Trading Fleet,179147,14.24,5807440,H-Line Shipping Co Ltd
9458420,General Cargo Ship,In Trading Fleet,28309,15.2,5297277,Tianjin Xinhai International Ship Management Co Ltd
9459046,Crude Oil Tanker,In Trading Fleet,158034,12.5,52882,The Shipping Corporation of India Ltd (SCI)
9460588,Bulk Carrier,In Trading Fleet,76347,14.6,749240,Far-East Transport Co Ltd
9460590,Bulk Carrier,In Trading Fleet,76457,14.5,5596374,Wisdom Marine International Inc
9460617,Chemical/Products Tanker,In Trading Fleet,8066,13.8,778064,Columbia Shipmanagement Ltd
9460629,Chemical/Products Tanker,In Trading Fleet,8063,13.6,1983906,Bernhard Schulte Shipmanagement (Singapore) Pte Ltd
9460631,Bulk Carrier,In Trading Fleet,92266,14.3,752001,Hachiuma Steamship Co Ltd (Hachiuma Kisen KK)
9460643,Bulk Carrier,In Trading Fleet,180491,14.17,5505864,Marinsa Denizcilik AS
9460681,Bulk Carrier,In Trading Fleet,50714,14.5,5433099,Dalian Hongfeng International Shipmanagement Co Ltd
9460784,Bulk Carrier,In Trading Fleet,50448,14.5,5307331,FML Ship Management Ltd
9460796,Bulk Carrier,In Trading Fleet,51679,13.73,1773755,Misuga Kaiun Co Ltd
9460801,Bulk Carrier,In Trading Fleet,51679,13.73,5926470,SMT Shipping Poland sp zoo
9460813,Bulk Carrier,In Trading Fleet,50633,14.5,89610,Union Commercial Inc
9460837,Products Tanker,In Trading Fleet,4620,12,5097145,MM Marine Inc
9460849,Products Tanker,In Trading Fleet,4584,12,5097145,MM Marine Inc
9460875,General Cargo Ship,In Trading Fleet,3061,12,5226858,Hoang Trieu JSC (Cong Ty Co Phan Hoang Trieu)
9460904,Bulk Carrier,In Trading Fleet,82654,13.96,5781402,Olympia Ocean Carriers Ltd
9460916,Bulk Carrier,In Trading Fleet,82641,14.5,1425464,V Ships Greece Ltd
9461051,Container Ship (Fully Cellular),In Trading Fleet,142092,24.7,217944,Hapag-Lloyd AG
9461087,Bulk Carrier,In Trading Fleet,82072,14.1,1876312,Kuang Ming Shipping Corp
9461116,Bulk Carrier,In Trading Fleet,82181,14.5,5768058,ISM Pte Ltd
9461130,Bulk Carrier,In Trading Fleet,82158,14,2037740,Diana Shipping Services SA
9461142,Bulk Carrier,In Trading Fleet,82181,14.5,1474936,Charterwell Maritime SA
9461154,Bulk Carrier,In Trading Fleet,82206,14.1,6044889,Xiamen Datong Xinluyang Shipping Co Ltd
9461166,Bulk Carrier,In Trading Fleet,82152,13.94,5497470,Misuga Kaiun Holland BV
9461192,Bulk Carrier,In Trading Fleet,82099,14,1658586,Swissmarine Inc
9461233,Bulk Carrier,In Trading Fleet,82152,13.95,1027944,Santoku Senpaku Co Ltd
9462897,Products Tanker,In Trading Fleet,50309,14.05,540689,Valles Steamship (Canada) Ltd
9464027,Bulk Carrier,In Trading Fleet,33780,13.91,1303151,Great Circle Shipping Agency Ltd
9464144,Bulk Carrier,In Trading Fleet,180010,14.5,81371,Neda Maritime Agency Co Ltd
9464560,Chemical/Products Tanker,In Trading Fleet,36684,14.5,104949,Anglo-Eastern Tanker Management (Hong Kong) Ltd
9464742,Bulk Carrier,In Trading Fleet,57144,14.5,52882,The Shipping Corporation of India Ltd (SCI)
9482691,Bulk Carrier,In Trading Fleet,95302,14.5,5879984,Golden Top Shipping Co Ltd
9487988,Bulk Carrier,In Trading Fleet,179266,14.38,1968365,NYK Shipmanagement Pte Ltd
9500807,Bulk Carrier,In Trading Fleet,56729,14.09,5963586,Ningbo Zrich Shipping Co Ltd
9500821,Bulk Carrier,In Trading Fleet,56729,14,3028090,Bernhard Schulte Shipmanagement (Deutschland) GmbH & Co KG
9500883,Bulk Carrier,In Trading Fleet,76574,14.5,5926452,COSCO Shipping Bulk Co Ltd
9500924,Crude Oil Tanker,In Trading Fleet,319439,16.09,5135600,Oman Ship Management Co SAOC
9500936,Crude Oil Tanker,In Trading Fleet,319439,16.13,5135600,Oman Ship Management Co SAOC
9500948,Bulk Carrier,In Trading Fleet,75486,13.65,1644074,Guangdong Ocean Shipping Co Ltd (COSCO GUANGDONG)
9500986,Bulk Carrier,In Trading Fleet,179263,14.17,6154519,Navios Corporation Management Inc
9501069,General Cargo Ship,In Trading Fleet,3100,11,9991001,Unknown
9501071,Bulk Carrier,In Trading Fleet,176006,14.21,516936,Safety Management Overseas SA
9501162,Crude Oil Tanker,In Trading Fleet,316373,15.87,1418224,International Tanker Management Ltd (ITM)
9501215,Bulk Carrier,In Trading Fleet,24968,14,325714,Ership SAU
9501239,Container Ship (Fully Cellular),In Trading Fleet,140973,23.8,5287602,Synergy Maritime Pvt Ltd
9501265,General Cargo Ship,In Trading Fleet,12660,15,6025045,Briese Heavylift GmbH & Co KG
9501277,General Cargo Ship,In Trading Fleet,12657,15,6025045,Briese Heavylift GmbH & Co KG
9501344,Container Ship (Fully Cellular),In Trading Fleet,142051,24.7,217944,Hapag-Lloyd AG
9501356,Container Ship (Fully Cellular),In Trading Fleet,142018,24.7,217944,Hapag-Lloyd AG
9501368,Container Ship (Fully Cellular),In Trading Fleet,142022,24.7,217944,Hapag-Lloyd AG
9501370,Container Ship (Fully Cellular),In Trading Fleet,142022,24.7,217944,Hapag-Lloyd AG
9501629,Products Tanker,In Trading Fleet,4700,11.8,5069363,JR Orion Services Pte Ltd
9506722,General Cargo Ship,In Trading Fleet,14359,16.5,5888608,Crowley Global Ship Management Inc
9507752,LPG Tanker,In Trading Fleet,7207,13.5,1882951,Stealth Maritime Corp SA
9508770,Container Ship (Fully Cellular),In Trading Fleet,6099,13,5491569,Qingdao Pengteng International Ship Management Co Ltd (Qingdao Pengteng Ship Management Co Ltd)
9511246,Bulk Carrier,In Trading Fleet,79335,14,96086,Atlantska Plovidba dd
9542142,Chemical/Products Tanker,In Trading Fleet,19991,14.6,5880474,PTS Co Ltd
9542154,Chemical/Products Tanker,In Trading Fleet,19999,14.54,5959460,Taikun Shipping Co Ltd
9542257,General Cargo Ship,In Trading Fleet,5280,12,5728980,Favour Ship Management Co Ltd
9542336,General Cargo Ship,In Trading Fleet,8327,13.5,5593264,Nescos A BV (Nescos Shipping BV)
9542350,General Cargo Ship,In Trading Fleet,8600,14,5593264,Nescos A BV (Nescos Shipping BV)
9542415,Wood Chips Carrier,In Trading Fleet,60366,14.5,255909,'K' Line RoRo Bulk Ship Management Co Ltd
9542465,Bulk Carrier,In Trading Fleet,74951,14.09,5214719,Bernhard Schulte Shipmanagement (China) Co Ltd
9542477,Bulk Carrier,In Trading Fleet,74973,14.05,17463,Wallem Shipmanagement Ltd (WSM)
9542491,Bulk Carrier,In Trading Fleet,74979,14.06,5873999,Safe Bulkers Management Ltd
9542532,Bulk Carrier,In Trading Fleet,37456,14.65,5396830,Campbell Shipping Co Ltd
9542544,Bulk Carrier,In Trading Fleet,37459,14.65,5396830,Campbell Shipping Co Ltd
9542582,Bulk Carrier,In Trading Fleet,22777,13.65,105006,Vietnam Ocean Shipping JSC (VOSCO) (Cong Ty Co Phan Van Tai Bien Viet Nam)
9542831,Bulk Carrier,In Trading Fleet,35723,15,403635,Suisse-Atlantique Societe de Navigation Maritime SA
9555436,General Cargo Ship,In Trading Fleet,7673,13.8,5546491,Mastermind Shipmanagement Ltd
9582374,Bulk Carrier,In Trading Fleet,35043,14,580450,GNG Ocean Shipping Co Ltd
9582439,Crude/Oil Products Tanker,In Trading Fleet,49966,14.3,1578540,Nanjing Tanker Corp
9582453,Bulk Carrier,In Trading Fleet,82158,14.2,6029153,Augustea Technoservices Ltd
9582491,Bulk Carrier,In Trading Fleet,82167,14.1,5691727,Cleanseas Shipmanagement Inc
9582544,Bulk Carrier,In Trading Fleet,81793,14.5,1743141,Hokoku Marine Co Ltd (Toyokuni Marine KK)
9582556,Bulk Carrier,In Trading Fleet,81889,13.5,9991001,Unknown
