InternationalMaritimeOrganizationNumber,VesselTypeName,VesselStatusName,DeadWeightTonnage,Speed,ManagementcompanyCode,ManagementCompany
8690681,General Cargo Ship,In Trading Fleet,1750,8.6,9991001,Unknown
8922436,General Cargo Ship,In Trading Fleet,2080,11.75,6111995,Kumwon Shipping & Trading Co
9014705,General Cargo Ship,In Trading Fleet,3735,10.6,1168545,Wilson Ship Management AS
9014717,General Cargo Ship,In Trading Fleet,3735,10.6,1168545,Wilson Ship Management AS
9014767,Refrigerated Cargo Ship,In Trading Fleet,12891,21.5,1687370,Ost-West-Handel und Schiffahrt GmbH
9014872,General Cargo Ship,In Trading Fleet,12239,13,5825809,LLC TK Nord Project
9014937,General Cargo Ship,In Trading Fleet,4175,12,5514301,Hansa Ship Management OU
9014949,General Cargo Ship,In Trading Fleet,4195,11,5815731,Northsea Shipping Ltd
9014963,LPG Tanker,In Trading Fleet,2628,11,4005682,Reliance Industries Ltd
9015084,Cement Carrier,In Trading Fleet,6520,13.3,5666631,Aki Line Co Ltd
9015187,Refrigerated Cargo Ship,In Trading Fleet,13930,22,280765,Seatrade Groningen BV
9061588,Bulk Carrier,In Trading Fleet,22035,14,9991001,Unknown
9061887,Bulk Carrier,Broken Up,69235,14.5,5288835,PT Jaya Samudra Karunia Shipping
9061904,Refrigerated Cargo Ship,In Trading Fleet,5388,18,6045388,LLC 'Far East Fleet'
9106467,Container Ship (Fully Cellular),In Trading Fleet,9200,17.5,4068111,Arkas Denizcilik ve Nakliyat AS (Arkas Shipping & Transport AS)
9106493,Container Ship (Fully Cellular),In Trading Fleet,13623,18,5860128,Medlog Shipping & Trade SA (Medlog Gemicilik ve Ticaret AS)
9106584,General Cargo Ship,In Trading Fleet,4068,11,1937796,JSC 'Afalita Shipping' (UAB 'Afalita Shipping')
9106637,Container Ship (Fully Cellular),In Trading Fleet,14464,18.5,313623,PT Meratus Line
9106649,Container Ship (Fully Cellular),In Trading Fleet,14454,18.5,9991001,Unknown
9106900,General Cargo Ship,In Trading Fleet,3680,10,5315623,Aleria Denizcilik ve Ticaret AS (Aleria Shipping)
9106912,General Cargo Ship,In Trading Fleet,3718,12,5747781,HAV Ship Management NorRus AS
9106974,General Cargo Ship,In Trading Fleet,11307,13,5776490,GN Denizcilik ve Acentelik Ltd Sti
9106986,General Cargo Ship,In Trading Fleet,11366,14,5776490,GN Denizcilik ve Acentelik Ltd Sti
9107033,Bulk Carrier,In Trading Fleet,22056,14,4012401,Hubei Qintai Shipping Co Ltd
9146106,Bulk Carrier,In Trading Fleet,10095,13.6,9991001,Unknown
9146132,General Cargo Ship,In Trading Fleet,12034,12.6,6134140,Merging Grand (Dalian) Ship Management Co Ltd
9146194,General Cargo Ship,In Trading Fleet,1500,11.2,9991001,Unknown
9146467,Container Ship (Fully Cellular),In Trading Fleet,110387,25,5808451,Maersk A/S
9146558,Bulk Carrier,In Trading Fleet,45426,13.01,9991001,Unknown
9146560,Products Tanker,In Trading Fleet,4026,11.8,9991001,Unknown
9146572,LPG Tanker,In Trading Fleet,6954,14.5,9991001,Unknown
9146663,Container Ship (Fully Cellular),In Trading Fleet,17468,18.1,5859862,Sinokor Ship Management Co Ltd
9146716,Bulk Carrier,In Trading Fleet,24801,14.3,5968865,Dalian Grand Ocean Shipping Management Co Ltd
9146778,Products Tanker,In Trading Fleet,5349,13.5,529897,Toko Kaiun Co Ltd (Toko Kaiun KK)
9152181,Refrigerated Cargo Ship,In Trading Fleet,9609,19.3,5581289,Baltmed Reefer Services Ltd
9152234,Bulk Carrier,In Trading Fleet,30848,13.1,5433068,V Ships Ship Management (India) Pvt Ltd
9152313,LPG Tanker,In Trading Fleet,1432,12.8,9991001,Unknown
9152325,General Cargo Ship,In Trading Fleet,3752,12.5,9991001,Unknown
9152349,LPG Tanker,In Trading Fleet,1432,13,9991001,Unknown
9152363,General Cargo Ship,In Trading Fleet,2745,11.4,5166292,Sung Kyung Maritime Co Ltd (SK Maritime)
9152375,Cement Carrier,In Trading Fleet,1708,11,9991001,Unknown
9152399,Cement Carrier,In Trading Fleet,1559,0,9991001,Unknown
9152404,General Cargo Ship,In Trading Fleet,2025,0,9991001,Unknown
9152466,Open Hatch Cargo Ship,In Trading Fleet,23484,14.3,6163211,NJ Trust Marine Ltd
9152492,Cement Carrier,In Trading Fleet,20872,13.6,197557,Daiichi Chuo Naiko Kaisha
9152569,Chemical/Products Tanker,In Trading Fleet,2618,14,5755233,HNCC Co Ltd
9152806,General Cargo Ship,Laid-Up,10094,16,5470157,Coral Technical Services
9152832,Products Tanker,In Trading Fleet,99999,14.5,1625256,Sanmar Shipping Ltd
9152844,Bulk Carrier,In Trading Fleet,7435,12.5,5760790,Alexandria Consultancy Inc
9152856,Container Ship (Fully Cellular),In Trading Fleet,35848,22,1535947,MSC Shipmanagement Ltd
9152909,Container Ship (Fully Cellular),In Trading Fleet,14086,17,6188878,Eastaway Ship Management Pte Ltd
9152911,Container Ship (Fully Cellular),In Trading Fleet,14070,17,6188878,Eastaway Ship Management Pte Ltd
9152923,Container Ship (Fully Cellular),In Trading Fleet,22330,19,6018202,Conbulk Shipmanagement Corp
9153070,Container Ship (Fully Cellular),In Trading Fleet,17732,18,5608815,Highland Maritime Co Ltd
9153109,Bulk Carrier,In Trading Fleet,77679,14.5,5325704,Dongguan Haichang Shipping Co Ltd
9153111,Bulk Carrier,In Trading Fleet,46658,14.35,5244355,Sea Plain Shipping Co Ltd
9153123,Container Ship (Fully Cellular),In Trading Fleet,4245,13.5,6066463,UCI Services Co Ltd
9153135,General Cargo Ship,In Trading Fleet,4796,13.5,9991001,Unknown
9153214,Products Tanker,In Trading Fleet,12924,14.5,5796475,Wuhan Yidong Shipping Management Co Ltd
9153496,Bulk Carrier,In Trading Fleet,28404,14.1,6021921,Sky Shipping Agency SA
9153501,Bulk Carrier,In Trading Fleet,28412,14.1,5831793,Zhangjiagang Oceanicwit Shipping Co Ltd
9153525,Crude Oil Tanker,To Be Broken Up,299986,12,6157306,Valorous Shipping Co
9153719,Chemical/Products Tanker,In Trading Fleet,3328,12,9991001,Unknown
9153757,Products Tanker,In Trading Fleet,4925,13.5,9991001,Unknown
9153795,Bulk Carrier,In Trading Fleet,74002,14.5,5713378,Seacon Ships Management Co Ltd
9153812,General Cargo Ship,In Trading Fleet,1576,11.8,9991001,Unknown
9153848,General Cargo Ship,In Trading Fleet,3773,12,9991001,Unknown
9153874,General Cargo Ship,In Trading Fleet,16957,15,5104797,COSCO Shipping Specialized Carriers Co Ltd
9153886,General Cargo Ship,In Trading Fleet,16957,15,5104797,COSCO Shipping Specialized Carriers Co Ltd
9153898,General Cargo Ship,In Trading Fleet,16957,15,5104797,COSCO Shipping Specialized Carriers Co Ltd
9153903,General Cargo Ship,In Trading Fleet,16957,15,5104797,COSCO Shipping Specialized Carriers Co Ltd
9153915,General Cargo Ship,In Trading Fleet,5856,13.5,4177161,PT Maxima Liners
9153991,General Cargo Ship,In Trading Fleet,1600,0,5679764,Happy Sailing Int'l Ship Management Co Ltd
9154000,Chemical/Products Tanker,In Trading Fleet,30952,15,5708593,SC 'Innovative Ukraine'
9154012,Bulk Carrier,In Trading Fleet,46670,14.35,1656559,Lomar Shipping & Management Inc
9154036,Chemical/Products Tanker,In Trading Fleet,6575,13,6210890,Green Ship Management Ltd
9154098,Bulk Carrier,In Trading Fleet,72424,14.5,5203250,Guangdong Yudean Shipping Co Ltd
9154141,Asphalt/Bitumen Tanker,In Trading Fleet,4147,11,5653232,May Maritime Services Sdn Bhd
9154153,General Cargo Ship,In Trading Fleet,8680,12.4,5012418,PT Pelayaran Putra Sejati
9154177,LPG Tanker,In Trading Fleet,3163,13,9991001,Unknown
9154220,Container Ship (Fully Cellular),In Trading Fleet,34051,21,1535947,MSC Shipmanagement Ltd
9154323,Chemical/Products Tanker,In Trading Fleet,5890,14,6069701,Stolt Tankers BV
9154505,Bulk Carrier,In Trading Fleet,42584,14,99749,Jadroplov International Maritime Transport Ltd (Jadroplov dd)
9154622,General Cargo Ship,In Trading Fleet,1572,10,5736503,New Sailing Shipping (HK) Ltd
9154854,Bulk Carrier,In Trading Fleet,23407,14.9,5854858,Oryx Shipping Ltd
9154957,Chemical/Products Tanker,In Trading Fleet,44881,15,5514496,Naviera Transoceanica SA
9155078,LNG Tanker,In Trading Fleet,75463,20.3,5807440,H-Line Shipping Co Ltd
9155107,Container Ship (Fully Cellular),In Trading Fleet,40100,22,1535947,MSC Shipmanagement Ltd
9155145,LNG Tanker,In Trading Fleet,77584,18.3,5810951,Hyundai LNG Shipping Co Ltd
9155341,LPG Tanker,In Trading Fleet,18111,16,1983906,Bernhard Schulte Shipmanagement (Singapore) Pte Ltd
9155377,Container Ship (Fully Cellular),In Trading Fleet,23992,19.5,5979428,Leonhardt & Blumberg Shipmanagement GmbH & Co KG
9155389,Container Ship (Fully Cellular),In Trading Fleet,23577,19.5,9991001,Unknown
9155511,Container Ship (Fully Cellular),In Trading Fleet,10478,16.5,313623,PT Meratus Line
9155523,Container Ship (Fully Cellular),In Trading Fleet,10548,16.5,9991001,Unknown
9155676,General Cargo Ship,In Trading Fleet,2100,11.2,5216692,Amasus Support BV
9155688,General Cargo Ship,In Trading Fleet,2270,9.5,6236891,SCR Shipping Ltd
9155767,Chemical/Products Tanker,In Trading Fleet,47363,13.71,1185781,Thome Ship Management Pte Ltd
9155884,General Cargo Ship,In Trading Fleet,4105,13,5059194,Atrica-Marine Ltd
9155896,General Cargo Ship,In Trading Fleet,6075,13.8,9991001,Unknown
9155937,General Cargo Ship,In Trading Fleet,9085,14.5,6089077,Cabotage Service Co Ltd
9155951,General Cargo Ship,In Trading Fleet,4163,12,5347531,Ulvan Personal AS
9155963,General Cargo Ship,In Trading Fleet,4113,12.2,1124357,Rederi AB Uman
9156034,Chemical/Products Tanker,In Trading Fleet,17787,13,9991001,Unknown
9156101,General Cargo Ship,In Trading Fleet,4450,13,1168545,Wilson Ship Management AS
9156113,General Cargo Ship,In Trading Fleet,4419,13,5013708,Gerdes Bereederungs und Verwaltungs GmbH
9156187,General Cargo Ship,In Trading Fleet,2518,10,1168545,Wilson Ship Management AS
9156204,General Cargo Ship,In Trading Fleet,6207,10,6066239,LLC 'Trading House RIF' (LLC TD RIF)
9156216,General Cargo Ship,In Trading Fleet,7697,16,5118601,PT Pelayaran Caraka Tirta Perkasa
9156278,Bulk Carrier,In Trading Fleet,73018,14.5,5864050,Skaarup Ship Management Co Ltd
9156539,Chemical/Products Tanker,In Trading Fleet,16116,15,1257390,Mediterranea di Navigazione SpA
9156553,Products Tanker,In Trading Fleet,11553,13,3018840,Ind-Aust Maritime Pvt Ltd
9156591,Crude Oil Tanker,Broken Up,95666,14.5,9991001,Unknown
9156682,General Cargo Ship,In Trading Fleet,1600,0,5679764,Happy Sailing Int'l Ship Management Co Ltd
9156761,Bulk Carrier,In Trading Fleet,24086,14.3,4012401,Hubei Qintai Shipping Co Ltd
9156797,LPG Tanker,In Trading Fleet,3688,14,5486413,Nhat Viet Transportation Corp (NV Trans Corp)
9156802,General Cargo Ship,In Trading Fleet,8668,12.4,6045017,Dalian Senyi Shipping Ltd
9156981,Chemical/Products Tanker,In Trading Fleet,3090,12.5,5103516,Sea Engineering Ltd (OOO 'Si Inzhenering')
9157002,Chemical/Products Tanker,In Trading Fleet,3079,13,210451,GEFO Gesellschaft fur Oeltransporte mbH
9157014,Chemical/Products Tanker,In Trading Fleet,3046,13,5550101,Scadar LLC
9157349,Bulk Carrier,In Trading Fleet,28437,13.9,5249988,Shanghai Vasteast International Shipping Management Co Ltd
9157351,Bulk Carrier,In Trading Fleet,28415,13.9,5831793,Zhangjiagang Oceanicwit Shipping Co Ltd
9157363,Bulk Carrier,In Trading Fleet,28426,14,5831793,Zhangjiagang Oceanicwit Shipping Co Ltd
9157430,General Cargo Ship (with Ro-Ro facility),Broken Up,13046,15,9991001,Unknown
9157480,General Cargo Ship,In Trading Fleet,1847,12,9991001,Unknown
9157519,Chemical Tanker,To Be Broken Up,16026,14.2,6206005,Tongxiang Shipping Ltd
9157521,Chemical Tanker,In Trading Fleet,16008,14.4,5668005,Maximus Marine Pte Ltd
9157545,General Cargo Ship,In Trading Fleet,1459,0,9991001,Unknown
9157624,LNG Tanker,In Trading Fleet,76064,20.5,1025259,SK Shipping Co Ltd
9157636,LNG Tanker,In Trading Fleet,75768,20.5,1755263,KLC SM Co Ltd
9157648,Container Ship (Fully Cellular),In Trading Fleet,49225,23.7,9991001,Unknown
9157662,Container Ship (Fully Cellular),In Trading Fleet,24612,19,5910770,TW Ship Management Pvt Ltd
9157739,LNG Tanker,In Trading Fleet,75319,20.3,1025259,SK Shipping Co Ltd
9157741,Container Ship (Fully Cellular),In Trading Fleet,20962,19.6,5575104,KMTC Ship Management Co Ltd
9157765,Crude Oil Tanker,In Trading Fleet,105161,15,6052641,Melody Shipmanagement Pvt Ltd
9157961,Container Ship (Fully Cellular),In Trading Fleet,10532,16.5,9991001,Unknown
9158070,General Cargo Ship,In Trading Fleet,8302,14.5,5846875,Kamer Marine Denizcilik Ic ve Dis Ticaret Ltd Sti
9158082,General Cargo Ship,In Trading Fleet,8300,12,5846875,Kamer Marine Denizcilik Ic ve Dis Ticaret Ltd Sti
9158109,General Cargo Ship,In Trading Fleet,4418,10.9,1729117,Reederei Bernd Sibum GmbH & Co KG
9158135,General Cargo Ship,In Trading Fleet,11626,14.5,127141,Myanma Five Star Line Co Ltd
9158159,Bulk Carrier,In Trading Fleet,41327,14.13,101856,Navigation Maritime Bulgare JSC
9158161,Products Tanker,In Trading Fleet,47431,14.5,5993126,Safe Seas Ship Management FZE
9158525,Container Ship (Fully Cellular),In Trading Fleet,33751,21,9991001,Unknown
9158604,Vehicles Carrier,In Trading Fleet,21479,18.88,5266703,G-Marine Service Co Ltd (GMS)
9158991,Chemical/Products Tanker,Broken Up,10303,13.5,5911561,DaeHo Shipping Co Ltd
9159000,General Cargo Ship,In Trading Fleet,8474,12.3,9991001,Unknown
9159012,General Cargo Ship (with Ro-Ro facility),In Trading Fleet,8245,13.7,9991001,Unknown
9159036,Bulk Carrier,In Trading Fleet,72037,14.5,5517439,Xiamen Hua Hai Hang Marine Co Ltd
9159115,Refrigerated Cargo Ship,In Trading Fleet,10334,21,1687370,Ost-West-Handel und Schiffahrt GmbH
9159177,Bulk Carrier,In Trading Fleet,91384,14.2,5559577,Noah Ship Management DMCCO
9159309,Container Ship (Fully Cellular),In Trading Fleet,8515,15,1316118,Dong Do Marine JSC (VISERITRANS)
9159311,Chemical/Products Tanker,In Trading Fleet,6575,12.8,5921394,HR Shipping Co Ltd
9159323,Vehicles Carrier,In Trading Fleet,6787,16,5089318,Shanghai Ansheng Automotive Shipping Co Ltd
9159476,General Cargo Ship,In Trading Fleet,2100,0,9991001,Unknown
9159531,General Cargo Ship,In Trading Fleet,1459,0,9991001,Unknown
9159646,Container Ship (Fully Cellular),In Trading Fleet,24554,19,5068127,Sea Consortium Pte Ltd (X-Press Feeders)
9159854,Container Ship (Fully Cellular),In Trading Fleet,24328,19,1397885,Tianjin (Hebei) Shipping Co Ltd
9159969,Palletised Cargo Ship,In Trading Fleet,7349,11.5,9991001,Unknown
9160724,Refrigerated Cargo Ship,In Trading Fleet,12912,21.5,1687370,Ost-West-Handel und Schiffahrt GmbH
9160906,Container Ship (Fully Cellular),In Trading Fleet,11031,18,5859862,Sinokor Ship Management Co Ltd
9160920,General Cargo Ship,In Trading Fleet,11115,17.5,1569569,Klingenberg Bereederungs- und Befrachtungs GmbH & Co KG
9160932,Products Tanker,In Trading Fleet,16326,15,6215374,STS Marine Management Pvt Ltd
9160944,General Cargo Ship,In Casualty Or Repairing,5538,15.5,9991001,Unknown
9161625,General Cargo Ship,In Trading Fleet,1382,11,9991001,Unknown
9161883,General Cargo Ship,In Trading Fleet,10094,13.6,5854858,Oryx Shipping Ltd
9162277,Container Ship (Fully Cellular),In Trading Fleet,30135,19,1333527,Thor Dahl Shipmanagement AS
9162526,Chemical/Products Tanker,In Trading Fleet,45999,14.5,1648580,Raffles Shipmanagement Services Pte Ltd
9162643,Container Ship (Fully Cellular),In Trading Fleet,14150,23,1535947,MSC Shipmanagement Ltd
9162916,Products Tanker,In Trading Fleet,47198,14.8,6176451,Shradha Shipmanagement Pvt Ltd
9163099,Asphalt/Bitumen Tanker,In Trading Fleet,1524,12.5,5653232,May Maritime Services Sdn Bhd
9163142,General Cargo Ship,In Trading Fleet,6830,12.5,5392121,Weihai Safe Ocean Co Ltd
9163300,Bulk Carrier,In Trading Fleet,74577,14,5303285,Ningbo Tiansheng Shipping Co Ltd
9163465,Bulk Carrier,In Trading Fleet,45766,13.01,5552963,Brave Royal Ship Management (BD) Ltd
9163647,General Cargo Ship,In Trading Fleet,4135,13,5491674,Rederi Ab Nathalie
9163685,General Cargo Ship,In Trading Fleet,8865,15.5,303304,Wagenborg Shipping BV
9163697,General Cargo Ship,In Trading Fleet,8867,15.5,303304,Wagenborg Shipping BV
9163752,Chemical/Products Tanker,In Trading Fleet,14335,14,339979,Transport Desgagnes Inc
9164029,General Cargo Ship,In Trading Fleet,17500,15,555505,Amur Shipping Co JSC
9164081,Chemical/Products Tanker,In Trading Fleet,4482,14,5019901,Unibaltic Sp z oo
9164093,Chemical/Products Tanker,In Trading Fleet,4482,14.5,5019901,Unibaltic Sp z oo
9164108,Chemical/Products Tanker,In Trading Fleet,5064,14,6069701,Stolt Tankers BV
9164237,Container Ship (Fully Cellular),In Trading Fleet,17526,18,5808451,Maersk A/S
9164249,Container Ship (Fully Cellular),In Trading Fleet,17525,18,9991001,Unknown
9164263,Container Ship (Fully Cellular),In Trading Fleet,17375,18,5699550,Element Shipmanagement SA
9164275,Container Ship (Fully Cellular),In Trading Fleet,17733,18,5808451,Maersk A/S
9164445,Bulk Carrier,In Trading Fleet,77663,14.5,9991001,Unknown
9164512,Products Tanker,In Trading Fleet,13786,13.5,5103516,Sea Engineering Ltd (OOO 'Si Inzhenering')
9164524,Chemical/Products Tanker,In Trading Fleet,13683,14.5,5621339,Poseidon SA
9164548,General Cargo Ship,In Trading Fleet,5555,15,154530,Mutualista Acoreana de Transportes Maritimos SA
9164550,General Cargo Ship,In Casualty Or Repairing,5580,15,9991001,Unknown
9164627,Bulk Carrier,In Trading Fleet,73144,12.5,5733526,Al Khalejia Aggregates FZE
9164639,Bulk Carrier,In Trading Fleet,73056,14.5,9991001,Unknown
9164641,Bulk Carrier,In Trading Fleet,73220,13.2,9991001,Unknown
9164653,Bulk Carrier,In Trading Fleet,73207,12.5,6083771,Itqan Ship Management & Operation LLC
9164691,Bulk Carrier,In Trading Fleet,77697,14.58,5325704,Dongguan Haichang Shipping Co Ltd
9164718,Chemical/Products Tanker,In Trading Fleet,6046,13,5718762,Stodig Ship Management AS
9164732,Chemical/Products Tanker,In Trading Fleet,6005,13,321889,Utkilen AS
9164756,Refrigerated Cargo Ship,In Trading Fleet,16024,21.5,280765,Seatrade Groningen BV
9164768,Refrigerated Cargo Ship,In Trading Fleet,16024,21.5,280765,Seatrade Groningen BV
9164770,Refrigerated Cargo Ship,In Trading Fleet,16024,21.5,280765,Seatrade Groningen BV
9164809,General Cargo Ship,In Trading Fleet,20741,15,6072731,Medway Ship Management Ltd
9164811,General Cargo Ship,In Trading Fleet,20738,15,5821271,Puffin Shipping & Trading Ltd
9164873,Crude/Oil Products Tanker,In Trading Fleet,17998,13.6,650367,PT Adnyana
9165047,LPG Tanker,In Trading Fleet,2000,13,9991001,Unknown
9165059,General Cargo Ship,In Trading Fleet,9651,12.5,9991001,Unknown
9165061,General Cargo Ship,In Trading Fleet,3520,12.5,4098993,Yantai Guangtong International Ship Management Co Ltd
9165085,General Cargo Ship,In Trading Fleet,4400,11,235818,Schiffahrtskontor Tom Worden GmbH & Co KG
9165176,Products Tanker,In Trading Fleet,31259,14.6,1852847,Unibros Shipping Corp
9165190,Bulk Carrier,In Trading Fleet,71671,14.5,1714809,SNP Shipping Services Pvt Ltd
9165281,Products Tanker,In Trading Fleet,34995,13.52,1570456,World Tankers Management Pte Ltd
9165346,"FSO, Oil",In Trading Fleet,299127,15.8,4148214,V Ships Offshore (Asia) Pte Ltd
9165358,Container Ship (Fully Cellular),In Trading Fleet,40881,21.3,5365996,Anglo-Eastern (Germany) GmbH
9165360,Container Ship (Fully Cellular),In Trading Fleet,40879,21.3,5365996,Anglo-Eastern (Germany) GmbH
9165449,Container Ship (Fully Cellular),In Trading Fleet,12171,19.5,5646292,Nautica Ship Management Sdn Bhd
9165516,Bulk Carrier,In Trading Fleet,172510,13.5,34961,Zodiac Maritime Ltd
9165542,Crude Oil Tanker,In Trading Fleet,106552,14.5,9991001,Unknown
9165798,General Cargo Ship,In Trading Fleet,22882,16.5,5466371,Rahbaran Omid Darya Ship Management Co
9165827,General Cargo Ship,In Trading Fleet,22882,16.5,5466371,Rahbaran Omid Darya Ship Management Co
9165932,"FSO, Oil",To Be Broken Up,298982,15.8,9991001,Unknown
9166297,Wood Chips Carrier,In Trading Fleet,25331,14,5573598,Thanh Thanh Dat Co Ltd
9166338,Chemical/Products Tanker,In Trading Fleet,3513,13,277925,Sambu Shipping Co Ltd
9166417,Crude Oil Tanker,In Trading Fleet,106474,14.5,6197743,Global Tech Marine Services Inc
9166443,General Cargo Ship,In Trading Fleet,3697,15,192101,Cebo-Marine BV
9166467,General Cargo Ship,In Trading Fleet,5749,12,1883376,Sam Shipping Vof
9166481,General Cargo Ship,In Trading Fleet,5842,13,5310755,Liamare Shipping BV
9166508,General Cargo Ship,In Trading Fleet,5328,15,9991001,Unknown
9166649,Container Ship (Fully Cellular),In Trading Fleet,34325,21,22438,Danaos Shipping Co Ltd
9166663,Bulk Carrier,In Trading Fleet,42717,14.5,6140832,Fanshun Shipping Co Ltd
9166704,Vehicles Carrier,In Trading Fleet,12490,19.8,9991001,Unknown
9166766,LPG Tanker,In Trading Fleet,20613,17.2,1117491,Wilhelmsen Ship Management Singapore Pte Ltd
9166833,General Cargo Ship,In Trading Fleet,9433,14.1,752001,Hachiuma Steamship Co Ltd (Hachiuma Kisen KK)
9166871,Bulk Carrier,In Trading Fleet,46747,14.5,5571747,Fujian Hengfeng Shipping Co Ltd
9166895,Vehicles Carrier,In Trading Fleet,13418,19,5104797,COSCO Shipping Specialized Carriers Co Ltd
9166974,Products Tanker,In Trading Fleet,8672,13.5,1316197,Hai Soon Ship Management Pte Ltd
9167045,Deck Cargo Ship,In Trading Fleet,1700,10,9991001,Unknown
9167083,Container Ship (Fully Cellular),In Trading Fleet,8350,17,6167758,Falcon Shipping Line DMCC
9167162,Crude/Oil Products Tanker,In Trading Fleet,34999,14.5,6080878,TruGro Ship Management Pvt Ltd
9167289,General Cargo Ship,In Trading Fleet,23176,16.9,5466371,Rahbaran Omid Darya Ship Management Co
9167291,General Cargo Ship,In Trading Fleet,23176,16.9,5466371,Rahbaran Omid Darya Ship Management Co
9167306,Container Ship (Fully Cellular),In Trading Fleet,4900,13.5,5859862,Sinokor Ship Management Co Ltd
9167356,General Cargo Ship,In Trading Fleet,4217,9.5,5747919,SIA 'Rix Shipmanagement'
9167394,LPG Tanker,In Trading Fleet,2891,13.5,1986446,SJ Tanker Co Ltd
9167423,Container Ship (Fully Cellular),In Trading Fleet,12814,17,29554,Pacific International Lines (Pte) Ltd
9167497,Wood Chips Carrier,In Trading Fleet,43980,15.5,1015045,Pegasus Maritime Co Ltd
9167617,General Cargo Ship,In Trading Fleet,1600,12.6,6131692,Grintsurt Ltd
9167631,General Cargo Ship,In Trading Fleet,24159,14.5,6207992,Sonar Ship Management LLC
9167643,Cement Carrier,In Trading Fleet,6506,13.3,255838,Nippon Kaiun KK (Nippon Shipping Co Ltd)
9167681,Limestone Carrier,In Trading Fleet,19651,14.1,5096871,Ocean Grow International Shipmanagement Consultant Corp
9167708,General Cargo Ship,In Trading Fleet,4999,11.5,1237499,Dongjin Shipping Co Ltd
9167863,Open Hatch Cargo Ship,In Trading Fleet,31962,13.59,5483966,Guangzhou Seaway International Ship Management Co Ltd
9167942,Container Ship (Fully Cellular),In Trading Fleet,14332,18.5,235818,Schiffahrtskontor Tom Worden GmbH & Co KG
9167980,General Cargo Ship,In Trading Fleet,3145,11,1332237,Linea Peninsular Inc
9168116,General Cargo Ship,In Trading Fleet,1815,12,1168545,Wilson Ship Management AS
9168166,General Cargo Ship,In Trading Fleet,5885,9.5,5498376,Marine Tetis Shipping Co
9168192,Container Ship (Fully Cellular),In Trading Fleet,38250,22.5,6018202,Conbulk Shipmanagement Corp
9168207,Container Ship (Fully Cellular),In Trading Fleet,38250,22.5,6018202,Conbulk Shipmanagement Corp
9168233,Container Ship (Fully Cellular),In Trading Fleet,15213,17.5,555567,Far-Eastern Shipping Company Plc (FESCO) (Dalnevostochnoye Morskoye Parokhodstvo)
9168257,Chemical/Products Tanker,In Trading Fleet,9202,12.5,9991001,Unknown
9168283,LPG Tanker,In Trading Fleet,1186,12,239051,Kyokai Kaiun KK (Kyokai Shipping Co Ltd)
9168348,Open Hatch Cargo Ship,In Trading Fleet,27868,14.4,5973097,Hong Kong Ocean International Ship Management Ltd
9168350,Open Hatch Cargo Ship,In Trading Fleet,27841,14.4,1298725,Vinaship JSC
9168441,General Cargo Ship,In Trading Fleet,4902,12,5846861,Blue Powder Shipping Corp
9168453,Products Tanker,In Trading Fleet,1550,0,9991001,Unknown
9168477,Chemical/Products Tanker,In Trading Fleet,19386,14.7,1648236,Glory Ship Management Pte Ltd
9168556,General Cargo Ship,In Trading Fleet,1450,10.76,9991001,Unknown
9168623,Chemical/Products Tanker,In Trading Fleet,22220,14.89,6069701,Stolt Tankers BV
9168635,Chemical/Products Tanker,In Trading Fleet,37395,13.5,5408609,Odfjell Management AS
9168647,Chemical/Products Tanker,In Trading Fleet,37438,13.4,6069701,Stolt Tankers BV
9168740,Products Tanker,In Trading Fleet,47204,13.52,6140568,Austinship Management Pvt Ltd
9168752,Bulk Carrier,In Trading Fleet,23620,14,754011,Vietnam Sea Transport & Chartering Co (VITRANSCHART) (Cong Ty Van Tai Bien Va Thue Tau Vietnam)
9168879,Container Ship (Fully Cellular),In Trading Fleet,63216,25,344771,Evergreen Marine Corp (Taiwan) Ltd (EVERGREEN LINE)
9169043,Container Ship (Fully Cellular),In Trading Fleet,18779,23,1535947,MSC Shipmanagement Ltd
9169067,Container Ship (Fully Cellular),In Trading Fleet,18779,23,1535947,MSC Shipmanagement Ltd
9169122,Container Ship (Fully Cellular),In Trading Fleet,52329,22.7,1535947,MSC Shipmanagement Ltd
9169158,Container Ship (Fully Cellular),In Trading Fleet,63216,25,344771,Evergreen Marine Corp (Taiwan) Ltd (EVERGREEN LINE)
9169160,Container Ship (Fully Cellular),In Trading Fleet,63216,25,344771,Evergreen Marine Corp (Taiwan) Ltd (EVERGREEN LINE)
9169316,Vehicles Carrier,In Trading Fleet,16669,19.2,1681296,Cido Shipping (Korea) Co Ltd
9169380,Bulk Carrier,In Trading Fleet,72891,13.5,6164489,ITG Holding Co Ltd
9169445,Cement Carrier,In Trading Fleet,6633,12.2,9991001,Unknown
9169512,Crude/Oil Products Tanker,In Trading Fleet,105002,15.1,9991001,Unknown
9169548,Crude Oil Tanker,In Trading Fleet,107261,14.5,6189791,Huanyu Shipmanagement Co Ltd
9169627,Shuttle Tanker,Broken Up,153617,14.7,5652631,KNOT Management AS
9169665,Container Ship (Fully Cellular),In Trading Fleet,12288,17,1150115,PT Tanto Intim Line
9169691,"FSO, Oil",In Trading Fleet,311224,15,5756483,United Ship Management Pte Ltd
9169732,General Cargo Ship,In Trading Fleet,4490,12.5,5548229,Cakiroglu Deniz Tasima Ltd Sti
