PortSkey,PortName,Latitude,Longitude
1823,Nessebar,42.654999,27.728333
1825,Tarabulus,32.902817,13.1926
1826,Ludwigshafen am Rhein,49.466667,8.433333
1828,Dutch Harbor,53.921665,-166.471664
1829,Ronneby,56.2,15.3
1830,Puerto Williams,-54.916667,-67.616667
1831,Kingstown,13.15,-61.226665
1832,Yangon,16.7675,96.152496
1834,Limassol,34.648335,33.020832
1835,Yeosu,34.735832,127.740829
1838,Skelleftea,64.766667,20.95
1839,St George's (Grenada),12.048333,-61.750832
1840,Azua,18.343334,-70.83667
1841,Eastport,44.9,-66.983333
1842,Moni,34.700001,33.183334
1843,Skredsvik,58.384998,11.653334
1844,El Segundo Terminal,33.871666,-118.5
1845,Wilma,46.666667,-117.133333
1848,Coatzacoalcos,18.128334,-94.400002
1849,Mannheim,49.483333,8.45
1850,Douala,4.044167,9.678333
1851,Fernandina,30.666667,-81.45
1852,Antsiranana,-12.27,49.275002
1854,Port Stanley (Falkland Is),-51.689167,-57.858334
1855,Ensenada,31.846666,-116.623337
1857,Tamatave,-18.15,49.426666
1858,Victoria (Cameroon),4.003334,9.203333
1859,Bonifacio,41.383333,9.166667
1860,Karlovassi,37.8,26.683333
1861,Ovendo,0.283333,9.5
1862,Sodertalje,59.189999,17.6325
1863,Hodeidah,14.836667,42.935001
1865,Neuss-Dusseldorf,51.183333,6.683333
1866,Guaymas,27.914999,-110.868332
1867,Fos,43.426666,4.891667
1868,Calvi,42.566667,8.75
1869,Neustadt,54.1,10.816667
1871,Flotta Terminal,58.846668,-3.116667
1873,Nordenham,53.485134,8.496384
1874,Aden,12.803333,44.996666
1875,Ile Rousse,42.633333,8.933333
1877,Stenungsund,58.081665,11.801666
1878,Mazatlan,23.190001,-106.415001
1879,Nikiski,60.666667,-151.35
1881,Stockholm,59.333333,18.05
1882,FPSO 'Okha',-19.583333,116.45
1883,Mukalla,14.511666,49.148335
1884,Marsaxlokk,35.824165,14.535
1888,Puerto Progreso,21.341667,-89.67717
1889,Barber's Point Harbor,21.266666,-158.08667
1890,Bar,42.095001,19.081667
1891,Papenburg,53.066667,7.4
1892,Lamia,38.909988,22.618076
1895,Salina Cruz,16.129999,-95.216667
1897,Stroemstad,58.933333,11.183333
1898,Lavera,43.400002,4.993333
1901,Dubrovnik,42.663765,18.079451
1903,Vanino,49.087502,140.274994
1904,Baie-Comeau,49.232498,-68.130836
1905,Port de Bouc,43.401669,4.986667
1908,Soderhamn,61.311668,17.089167
1909,Reggio Calabria,38.1,15.65
1911,Hvar,43.166667,16.433333
1912,Bahregan,29.715,50.169998
1913,Kenai,60.549168,-151.258331
1915,Porto Vecchio,41.583333,9.283333
1916,Albakr Terminal,29.68,48.813332
1917,Sundsvall,62.388332,17.3475
1918,Koper,45.558334,13.733334
1919,Tampico,22.256666,-97.805
1921,Kotor,42.416667,18.766667
1923,Propriano,41.683333,8.9
1926,Belledune,47.91,-65.841667
1927,Bugpyong,37.494999,129.139999
1928,Trelleborg,55.369999,13.153334
1929,Tuxpan,20.9475,-97.397499
1930,Kanmon Kaikyo (Straits),33.9,130.916667
1931,Uddevalla,58.341667,11.9
1932,Stade,53.626167,9.532
1933,Kodiak,57.786667,-152.401672
1935,Alexandroupolis,40.84,25.891666
1936,Samcheog Han,37.433333,129.183333
1937,Botwood,49.136665,-55.330002
1938,Veracruz,19.204166,-96.129997
1941,Umea,63.696667,20.343334
1943,Astakos Terminal,38.527667,21.084317
1944,Samchonpo,34.908333,128.103333
1945,Ploce,43.033333,17.431667
1947,Vallvik,61.183333,17.183333
1949,Okpo,34.883333,128.7
1950,Bonaire Terminal,12.216667,-68.383333
1952,Ayios Nikolaos,35.183333,25.716667
1953,Normanton,-17.487499,140.834503
1954,Theodosia,45.081665,35.493332
1955,Sibenik,43.730328,15.890566
1956,Vanersborg,58.366667,12.316667
1958,Hvide Sande,55.983333,8.133333
1959,Kokura,33.895,130.893326
1962,Souda Bay,35.493332,24.079166
1963,Newport (Oregon),44.633333,-124.05
1964,Chios,38.366667,26.133333
1965,Moji,33.936668,130.944168
1966,Varberg,57.112816,12.243864
1967,Puerto Bayovar,-5.795,-81.050003
1968,Mykolayiv,46.9375,31.990833
1969,Split,43.502499,16.434999
1970,Wilhelmshaven,53.533333,8.163333
1971,Vasteras,59.590832,16.523333
1973,Groote Eylandt,-13.860833,136.414993
1974,Agadir,30.424999,-9.645
1975,Zadar,44.119999,15.223333
1978,Northport,45.116667,-85.616667
1979,Rockhampton,-23.584999,150.863327
1980,Kalymnos,36.95,26.983333
1983,Takoradi,4.883333,-1.736667
1984,Casablanca,33.613335,-7.596667
1985,Chandler,48.336666,-64.661667
1986,Northville,42.416667,-83.483333
1987,Katakolon,37.65,21.316667
1988,Mourilyan,-17.600367,146.124313
1989,Sao Luis,-2.5,-44.3
1990,Kish Island,26.533333,54
1991,Corunna,43.360001,-8.376667
1992,Visby,57.634317,18.27775
1993,Tema,5.628334,0.011667
1994,Ceuta,35.893333,-5.31
1995,Camden,39.936165,-75.136002
1996,Banana,-6.041667,12.403334
1997,Kos,36.898335,27.289167
1998,Roomassaare,58.216667,22.5
2000,Wallhamn,58.016667,11.7
2001,Ystad,55.424168,13.825
2003,Boma,-5.864067,13.05275
2005,Rohukula,58.9,23.433333
2006,Essaouira,31.416667,-9.5
2007,Gibraltar,36.134998,-5.365
2009,Mesolongi,38.366667,21.433333
2012,Heltermaa,58.866667,23.05
2014,Port Saguenay,48.416667,-71.066667
2015,Mykonos,37.448866,25.328419
2016,Point Comfort,28.633333,-96.566666
2018,Sviby,58.966667,23.316667
2019,Marmorilik,71.133333,-51.283333
2022,Churchill,58.777248,-94.199997
2023,Agia Trias,37.968334,23.405001
2025,Virtsu,58.583333,23.516667
2026,Melilla,35.316667,-2.883333
2027,Come By Chance,47.799999,-54.021667
2028,Piraeus,37.939999,23.626667
2029,Aspropyrgos,38.023335,23.59
2030,Eleusis,38.033333,23.533333
2031,Vado Ligure,44.266667,8.45
2032,Kuivastu,58.566667,23.383333
2033,Mohammedia,33.728333,-7.386667
2034,Banias Terminal,35.233334,35.916668
2036,Corner Brook,48.959999,-57.985332
2037,Novotallinsky,59.5,24.966667
2038,Sarande,39.883333,20
2040,Latakia,35.524166,35.764168
2041,Everett MA,42.388332,-71.061668
2042,Chania,35.516667,24.016667
2043,Catacolo,37.65,21.316667
2044,Port Huron,42.988018,-82.442482
2046,Tokushima,34.009998,134.595001
2047,Tangier,35.78725,-5.795083
2048,Tartous,34.966667,35.849998
2050,Pajaritos,18.116667,-94.383333
2051,Pasir Gudang,1.433333,103.894997
2054,Stylis,38.909988,22.618076
2055,Port Jefferson,40.953651,-73.07518
2056,Harper,4.367733,-7.730333
2057,Collo,37.016667,6.55
2058,Nigg Oil Terminal,57.691666,-4.043333
2059,Beira,-19.821667,34.831665
2060,Port Manatee,27.634167,-82.561668
2061,Turkmenbashi,40.016667,52.966667
2062,Chalkis,38.466667,23.590834
2064,Moerdijk,51.695,4.5725
2065,Teluk Ewa,6.469067,99.801949
2066,Tenes,36.516667,1.316667
2069,Hualien,23.983334,121.629997
2070,Dalhousie,48.064999,-66.33667
2071,Corfu,39.616667,19.916667
2072,Kymassi,38.8,23.516667
2073,Victoria (Canada),48.416668,-123.394997
2074,Bataan,14.525,120.635002
2076,Kaohsiung,22.58,120.300003
2077,Mjimwema Oil Terminal,-6.84298,39.299831
2078,Maputo,-25.98,32.566666
2079,Leros Island,37.183333,26.8
2080,Mozambique Island,-15.040833,40.786667
2083,Orkanger,63.316667,9.833333
2085,Mocamedes,-15.13909,12.134906
2087,Gythion,36.766667,22.566667
2088,Palanca Terminal,-6.886667,12.353333
2089,Milos Island,36.716667,24.450001
2091,Su-Ao,24.598333,121.863333
2093,Lixouri,38.2,20.433333
2094,Nacala,-14.540833,40.664165
2095,Colon,9.388333,-79.919167
2096,Sabine Pass,29.716667,-93.9
2098,Heraklion,35.348331,25.148333
2099,Aberdeen (USA),46.966667,-123.816667
2100,Patmos,37.316667,26.55
2101,Taichung,24.283333,120.51667
2103,Goteborg,57.701668,11.931666
2104,Agioi Theodoroi,37.913334,23.088333
2105,Salem,42.521667,-70.876663
2106,Isthmia,37.916667,23
2107,La Rochelle,46.148267,-1.170533
2110,Bermeo,43.433333,-2.716667
2111,Gaspe,48.833333,-64.483333
2112,Dadiangas,6.103233,125.171402
2113,Dar es Salaam,-6.84298,39.299831
2114,Itea,38.43,22.423334
2115,Bushire,28.995001,50.834999
2116,Sandwich,41.772499,-70.513336
2117,Skogn,63.7,11.15
2118,Georgetown (Canada),43.65,-79.916667
2119,Sasa,7.116666,125.661667
2120,Tanjong Gelang,3.973333,103.426666
2121,Mtwara,-10.2625,40.200832
2122,Kalamata,37.021782,22.113283
2123,Pylos,36.9,21.683333
2126,Port Botany,-33.986668,151.21167
2127,Luderitz,-26.639999,15.1555
2128,Santa Ana,7.116666,125.661667
2129,Kali Limenes,34.929165,24.804167
2130,Tanga,-5.054133,39.131882
2131,Seriphos Island,37.15,24.5
2132,Taconite Harbor,47.516667,-90.916667
2134,Sas Van Gent,51.233333,3.8
2135,Tianjin,39.033333,117.2
2136,Halifax,44.636665,-63.541668
2137,Walvis Bay,-22.951666,14.491667
2140,Achladi,38.883333,22.816667
2141,Kavala,40.932217,24.409212
2142,Corinth,37.933333,22.916667
2143,Male,4.181667,73.511665
2144,Nauru,-0.525133,166.901672
2145,Alghero,40.55,8.316667
2146,Wrangell,56.483333,-132.366667
2147,Lavrion,37.709999,24.061666
2150,Hamilton (Canada),43.283333,-79.833336
2151,Saginaw,43.416667,-83.95
2152,Mytilene,39.1,26.55
2153,Yakutat,59.55,-139.766667
2154,Bangkok,13.679999,100.521667
2155,Avola,36.9,15.133333
2158,Alang,21.403334,72.209999
2160,Chalna,22.49025,89.589867
2161,Fort Dauphin,-25.033333,47
2162,Fiumicino,41.748333,12.158333
2163,Alkmaar,52.633333,4.75
2164,Nauplia,37.566667,22.8
2165,Harbour Grace,47.683333,-53.25
2166,Phu My,10.586667,107.027496
2168,Formia,41.253929,13.610744
2170,Phuket,7.820833,98.406334
2171,Pinkenba,-27.416667,153.116667
2173,Anacortes,48.511665,-122.574997
2174,Amsterdam,52.404999,4.876667
2176,Pachi,37.966667,23.35
2178,Patras,38.25,21.73
2179,Livorno,43.633335,9.971666
2180,Pointe Noire,50.166668,-66.48333
2181,Petit Couronne,49.381668,1.013333
2182,Holyrood,47.395,-53.128334
2185,Oristano,39.863335,8.561666
2186,Mersin,36.788334,34.639999
2188,Muscat,23.625834,58.571667
2189,Delfzijl,53.328335,6.935833
2190,Pernis,51.883333,4.383333
2191,Caleta Cordova,-45.733333,-67.066667
2192,Den Helder,52.959999,4.785
2193,Kitimat,53.988335,-128.678329
2195,Akutan,34.983333,-91.983333
2196,Munguba,-0.928333,-52.431034
2197,Rabigh,22.7425,38.999168
2198,Rethimnon,35.366667,24.466667
2199,Botlek,51.884998,4.286667
2200,Caleta Olivia,-46.424999,-67.46833
2201,Lome,6.138333,1.288333
2202,Cagliari,39.206672,9.108749
2203,Rhodes,36.449165,28.233334
2204,Adak,51.854168,-176.649994
2206,St Romuald Terminal,46.783348,-71.209229
2207,Dordrecht,51.7925,4.635
2208,Port Purcell,18.416667,-64.6
2210,Port Jerome,49.468334,0.536667
2211,Ciro Marina,39.366667,17.133333
2215,Eemshaven,53.446817,6.834833
2216,Saida,33.523335,35.334999
2220,Gravenchon,49.439999,1.045833
2221,Syros Island,0,0
2222,Follonica,42.883333,10.85
2223,Tanjung Bruas,2.188333,102.103333
2227,Aratu,-12.78,-38.501667
2228,Thessaloniki,40.633331,22.921667
2229,Nuku'alofa,-21.134167,-175.179169
2230,Harlingen,53.174168,5.406667
2231,Liepaja,56.525002,20.985001
2232,Imperia,43.883333,8.05
2236,La Maddalena (Cagliari),39.206672,9.108749
2238,Vathi,37.75,26.983333
2239,Kotzebue,66.758331,-162.675003
2241,Midia,44.333332,28.683332
2243,Hook of Holland,51.972733,4.126717
2244,Volos,39.354168,22.940001
2245,Piombino,42.931667,10.548333
2248,Port Etienne,20.897499,-17.049999
2249,Kuala Belait,4.588333,114.183334
2250,Ballylumford,54.843334,-5.791667
2251,Basarabi,44.166667,28.366667
2252,Yali Island,36.66,27.125
2253,Montague,46.15,-62.633333
2256,IJmuiden,52.468868,4.587833
2258,Lumut (Brunei Darussalam),4.7125,114.442833
2259,Bonaberi,4.083333,9.65
2262,Porto Nogaro,45.695,13.251667
2263,Mina Al Zour,28.757334,48.469334
2264,Port Natal,-29.876667,31.043333
2265,Moudi Terminal,4.126667,8.518333
2266,Zante,37.783333,20.9
2267,Porto Santo Stefano,42.436668,11.1225
2269,Port Swettenham,3.033333,101.353333
2270,Montreal,45.536667,-73.535004
2271,Scheveningen,52.098331,4.261667
2272,Porto Vesme,39.195831,8.395833
2273,Pointe-a-Pierre,10.346666,-61.526669
2277,Point Fortin,10.193334,-61.700001
2278,Baoshan,31.416667,121.483333
2280,Westport (Malaysia),2.95,101.3
2283,Bayside,45.159,-67.14167
2285,Kalecik,35.320617,33.99575
