lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
35222,21,3,135,1,2016-04-04 19:42:12.247000000
35222,23,1,11,1,2016-04-04 19:41:32.077000000
35222,23,2,15,1,2016-04-04 19:41:59.033000000
35222,23,3,135,1,2016-04-04 19:42:12.247000000
35395,48,1,171,1,2016-05-03 14:39:28.237000000
35397,64,1,165,1,2016-10-04 14:24:09.367000000
35397,64,2,164,1,2016-10-04 14:24:09.380000000
35397,64,3,263,3,2016-10-04 14:24:09.380000000
35397,64,4,212,1,2016-10-04 15:01:21.163000000
35408,26,1,279,1,2016-08-03 11:27:25.340000000
35408,26,2,176,2,2019-04-29 13:02:44.270000000
35408,26,3,177,6,2019-04-29 13:02:44.287000000
35409,64,1,263,3,2019-08-12 15:39:15.820000000
35434,30,1,169,1,2018-09-27 19:44:24.197000000
35448,81,1,62,2,2019-02-04 17:12:22.507000000
35448,81,2,226,3,2019-02-04 17:12:22.507000000
35448,86,1,62,2,2019-02-04 17:12:22.507000000
35448,86,2,226,3,2019-02-04 17:12:22.507000000
35450,41,1,240,1,2017-10-23 17:17:05.237000000
35451,48,1,165,1,2016-10-04 13:01:40.287000000
35451,48,2,263,3,2016-10-04 13:01:40.303000000
35486,16,1,42,1,2019-10-31 15:58:46.883000000
35486,16,2,231,2,2019-10-31 15:59:04.597000000
35486,16,3,249,1,2019-10-31 15:59:19.787000000
35486,18,1,42,1,2019-10-31 15:58:46.883000000
35486,18,2,231,2,2019-10-31 15:59:04.597000000
35486,18,3,249,1,2019-10-31 15:59:19.787000000
35498,24,1,129,1,2018-09-18 15:51:39.627000000
35498,26,1,129,1,2018-09-18 15:51:39.627000000
35698,23,1,333,1,2014-10-20 15:30:45
35698,24,1,333,1,2014-10-20 15:30:45
35751,35,2,165,1,2015-06-10 13:14:17.133000000
35751,35,4,263,3,2015-06-10 13:14:17.147000000
35751,37,2,165,1,2015-06-10 13:14:17.133000000
35751,37,4,263,3,2015-06-10 13:14:17.147000000
35751,39,2,165,1,2015-06-10 13:14:17.133000000
35751,39,4,263,3,2015-06-10 13:14:17.147000000
35753,33,1,212,1,2015-06-09 19:28:44.637000000
35753,33,2,204,2,2015-06-09 19:28:44.653000000
35753,33,3,263,3,2015-06-09 19:28:44.653000000
35753,35,1,212,1,2015-06-09 19:28:44.637000000
35753,35,2,204,2,2015-06-09 19:28:44.653000000
35753,35,3,263,3,2015-06-09 19:28:44.653000000
35755,29,4,263,3,2015-06-10 14:18:34.430000000
35755,31,4,263,3,2015-06-10 14:18:34.430000000
35761,34,1,204,2,2015-06-09 20:13:04.240000000
35761,34,2,165,1,2015-06-09 20:13:04.240000000
35761,34,3,164,1,2015-06-09 20:13:04.270000000
35761,34,4,263,3,2015-06-09 20:13:04.287000000
35761,36,1,204,2,2015-06-09 20:13:04.240000000
35761,36,2,165,1,2015-06-09 20:13:04.240000000
35761,36,3,164,1,2015-06-09 20:13:04.270000000
35761,36,4,263,3,2015-06-09 20:13:04.287000000
35998,30,1,201,9,2015-07-23 13:41:13.667000000
35998,32,1,201,9,2015-07-23 13:41:13.667000000
36035,26,1,240,1,2015-04-30 19:00:54.953000000
36161,32,1,372,1,2019-01-23 21:26:25.557000000
36161,33,1,372,1,2019-01-23 21:26:25.557000000
36161,37,1,372,1,2019-01-23 21:26:25.557000000
36163,24,1,372,1,2019-01-23 22:05:07.010000000
36163,25,1,372,1,2019-01-23 22:05:07.010000000
36163,28,1,372,1,2019-01-23 22:05:07.010000000
36204,21,1,240,1,2019-11-20 15:26:24.117000000
36204,22,1,240,1,2019-11-20 15:26:24.117000000
36240,45,1,155,1,2016-07-25 19:06:48.613000000
36240,45,2,266,1,2016-07-25 19:06:48.630000000
36240,54,1,155,1,2021-05-03 17:05:18.400000000
36240,54,2,266,1,2021-05-03 17:05:40.967000000
36241,87,1,155,1,2019-05-06 19:00:16.640000000
36241,87,2,266,1,2019-05-06 19:00:34.290000000
36356,41,1,256,2,2019-04-26 14:12:03.390000000
36402,31,1,187,1,2016-01-18 14:02:57.740000000
36402,31,2,161,1,2016-01-18 14:02:57.757000000
36402,31,3,266,1,2016-01-18 14:02:57.757000000
36408,27,1,155,1,2016-01-15 19:40:35.927000000
36408,27,2,266,1,2016-01-15 19:40:35.927000000
36408,29,1,155,1,2016-01-15 19:40:35.927000000
36408,29,2,266,1,2016-01-15 19:40:35.927000000
36521,19,1,223,2,2016-04-13 16:46:44.140000000
36521,20,1,223,2,2016-04-13 16:46:44.140000000
36523,27,1,102,2,2019-11-22 18:56:10.423000000
36523,29,1,102,2,2019-11-22 18:56:10.423000000
36920,68,1,11,1,2018-07-31 17:25:11.610000000
36920,68,2,176,2,2018-07-31 17:25:11.613000000
37166,22,1,131,3,2017-09-14 19:44:30.507000000
37166,22,2,232,1,2017-09-14 19:44:52.530000000
37166,22,3,217,5,2017-09-14 19:45:05.857000000
37166,22,4,47,1,2017-09-14 19:45:25.817000000
37166,22,5,139,1,2017-09-14 19:45:51.237000000
37228,10,1,217,5,2019-12-11 16:43:37.727000000
37228,10,2,131,3,2019-12-11 16:43:37.743000000
37228,10,3,315,1,2019-12-11 16:43:37.743000000
37228,10,4,232,1,2019-12-11 16:43:37.743000000
37228,10,5,47,1,2019-12-11 16:43:37.760000000
37228,12,1,217,5,2019-12-11 16:43:37.727000000
37228,12,2,131,3,2019-12-11 16:43:37.743000000
37228,12,3,315,1,2019-12-11 16:43:37.743000000
37228,12,4,232,1,2019-12-11 16:43:37.743000000
37228,12,5,47,1,2019-12-11 16:43:37.760000000
37228,14,1,217,5,2019-12-11 16:43:37.727000000
37228,14,2,131,3,2019-12-11 16:43:37.743000000
37228,14,3,315,1,2019-12-11 16:43:37.743000000
37228,14,4,232,1,2019-12-11 16:43:37.743000000
37228,14,5,47,1,2019-12-11 16:43:37.760000000
37371,42,1,1,2,2019-07-01 13:04:49
37475,17,4,194,1,2018-12-20 19:40:52.167000000
37475,17,5,156,1,2018-12-20 19:40:52.180000000
37475,17,6,55,1,2018-12-20 19:40:52.180000000
37502,18,1,194,1,2018-12-18 22:03:21.450000000
37502,18,2,156,1,2018-12-18 22:04:42.640000000
37502,18,3,55,1,2018-12-18 22:05:48.463000000
37504,16,1,194,1,2018-12-18 22:08:39.507000000
37504,16,2,156,1,2018-12-18 22:09:19.577000000
37504,16,3,55,1,2018-12-18 22:10:38.150000000
37537,14,1,194,1,2018-12-14 20:35:32.423000000
37537,14,2,156,1,2018-12-14 20:35:32.423000000
37537,14,3,55,1,2018-12-14 20:35:32.440000000
37564,9,1,156,1,2019-01-04 00:52:01.297000000
37564,9,2,55,1,2019-01-04 00:52:19.970000000
37564,9,3,194,1,2019-01-04 00:52:31.927000000
37564,12,1,156,1,2019-01-04 00:52:01.297000000
