"lcd_id","lcd_version","related_num","source_lcd_id","last_updated"
"33827","43","2","11560","2016-05-23 15:57:35.437000000"
"33827","43","3","27005","2016-05-23 15:57:42.503000000"
"33827","43","4","5058","2016-05-23 15:57:49.120000000"
"33831","28","1","11460","2016-02-26 16:01:40.480000000"
"33831","28","2","11449","2016-05-23 16:01:29.227000000"
"33831","28","3","27222","2016-05-23 16:01:41.253000000"
"33831","28","4","11471","2016-05-23 16:01:50.363000000"
"33915","14","1","32094","2014-07-01 18:59:08.607000000"
"33915","15","1","32094","2014-07-01 18:59:08.607000000"
"33945","11","1","31861","2016-03-17 14:05:21.767000000"
"33947","14","1","31830","2015-10-23 11:56:22.517000000"
"33952","10","1","31858","2015-10-23 11:57:55.007000000"
"33960","18","1","31831","2016-01-29 12:25:48.520000000"
"33999","11","1","31834","2016-02-01 12:26:21.667000000"
"34005","24","1","31863","2016-02-12 12:54:33.100000000"
"34008","13","1","31864","2016-02-01 12:23:51.487000000"
"34032","24","1","31835","2016-02-25 17:48:50.070000000"
"34062","31","1","31865","2016-04-19 12:36:28.760000000"
"34081","17","1","31838","2016-02-25 13:43:07.393000000"
"34085","7","1","31889","2016-02-25 13:50:58.187000000"
"34085","8","1","31889","2016-02-25 13:50:58.187000000"
"34085","9","1","31889","2016-02-25 13:50:58.187000000"
"34085","10","1","31889","2016-02-25 13:50:58.187000000"
"34089","9","1","31871","2016-03-29 18:30:57.003000000"
"34090","11","1","31876","2016-03-29 16:50:55.230000000"
"34195","16","1","31877","2016-04-19 12:49:46.040000000"
"34195","17","1","31877","2016-04-19 12:49:46.040000000"
"34213","42","1","33521","2016-03-16 20:36:54.313000000"
"34824","19","1","34675","2016-05-24 12:33:13.290000000"
"34824","19","2","34740","2016-05-24 12:33:27.143000000"
"34824","19","3","34732","2016-05-24 12:33:38.827000000"
"34824","19","4","34736","2016-05-24 12:33:52.540000000"
"35098","25","1","33386","2016-02-12 16:50:32.563000000"
