lcd_id,lcd_version,state_id,last_updated
34565,35,42,2019-11-15 15:24:30.133000000
34565,35,43,2019-11-15 15:24:30.133000000
34565,35,48,2019-11-15 15:24:30.133000000
34565,35,50,2019-11-15 15:24:30.133000000
34565,35,51,2019-11-15 15:24:30.133000000
34566,34,2,2021-10-29 14:30:46.413000000
34566,34,3,2021-10-29 14:30:46.413000000
34566,34,12,2021-10-29 14:30:46.413000000
34566,34,14,2021-10-29 14:30:46.413000000
34566,34,19,2021-10-29 14:30:46.413000000
34566,34,20,2021-10-29 14:30:46.413000000
34566,34,22,2021-10-29 14:30:46.413000000
34566,34,23,2021-10-29 14:30:46.413000000
34566,34,31,2021-10-29 14:30:46.413000000
34566,34,34,2021-10-29 14:30:46.413000000
34566,34,39,2021-10-29 14:30:46.413000000
34566,34,42,2021-10-29 14:30:46.413000000
34566,34,43,2021-10-29 14:30:46.413000000
34566,34,48,2021-10-29 14:30:46.413000000
34566,34,50,2021-10-29 14:30:46.413000000
34566,34,51,2021-10-29 14:30:46.413000000
34567,39,2,2021-11-01 20:19:28.203000000
34567,39,3,2021-11-01 20:19:28.203000000
34567,39,12,2021-11-01 20:19:28.203000000
34567,39,14,2021-11-01 20:19:28.203000000
34567,39,19,2021-11-01 20:19:28.203000000
34567,39,20,2021-11-01 20:19:28.203000000
34567,39,22,2021-11-01 20:19:28.203000000
34567,39,23,2021-11-01 20:19:28.203000000
34567,39,31,2021-11-01 20:19:28.203000000
34567,39,34,2021-11-01 20:19:28.203000000
34567,39,39,2021-11-01 20:19:28.203000000
34567,39,42,2021-11-01 20:19:28.203000000
34567,39,43,2021-11-01 20:19:28.203000000
34567,39,48,2021-11-01 20:19:28.203000000
34567,39,50,2021-11-01 20:19:28.203000000
34567,39,51,2021-11-01 20:19:28.203000000
35132,47,2,2021-09-23 12:57:34.473000000
35132,47,3,2021-09-23 12:57:34.473000000
35132,47,12,2021-09-23 12:57:34.473000000
35132,47,14,2021-09-23 12:57:34.473000000
35132,47,19,2021-09-23 12:57:34.473000000
35132,47,20,2021-09-23 12:57:34.473000000
35132,47,22,2021-09-23 12:57:34.473000000
35132,47,23,2021-09-23 12:57:34.473000000
35132,47,31,2021-09-23 12:57:34.473000000
35132,47,34,2021-09-23 12:57:34.473000000
35132,47,39,2021-09-23 12:57:34.473000000
35132,47,42,2021-09-23 12:57:34.473000000
35132,47,43,2021-09-23 12:57:34.473000000
35132,47,48,2021-09-23 12:57:34.473000000
35132,47,50,2021-09-23 12:57:34.473000000
35132,47,51,2021-09-23 12:57:34.473000000
